word_id,english,arabic,category
0,hello,مرحبا,greetings
1,goodbye,مع السلامة,greetings
2,please,من فضلك,greetings
3,thank you,شكرا,greetings
4,sorry,آسف,greetings
5,yes,نعم,greetings
6,no,لا,greetings
7,help,مساعدة,greetings
8,welcome,أهلا وسهلا,greetings
9,good morning,صباح الخير,greetings
10,good night,تصبح على خير,greetings
11,how are you,كيف حالك,greetings
12,fine,بخير,greetings
13,my name,اسمي,greetings
14,nice to meet you,تشرفت بمعرفتك,greetings
15,eat,يأكل,daily_actions
16,drink,يشرب,daily_actions
17,sleep,ينام,daily_actions
18,walk,يمشي,daily_actions
19,run,يركض,daily_actions
20,sit,يجلس,daily_actions
21,stand,يقف,daily_actions
22,open,يفتح,daily_actions
23,close,يغلق,daily_actions
24,write,يكتب,daily_actions
25,read,يقرأ,daily_actions
26,play,يلعب,daily_actions
27,work,يعمل,daily_actions
28,study,يدرس,daily_actions
29,cook,يطبخ,daily_actions
30,wash,يغسل,daily_actions
31,clean,ينظف,daily_actions
32,drive,يقود,daily_actions
33,buy,يشتري,daily_actions
34,sell,يبيع,daily_actions
35,give,يعطي,daily_actions
36,take,يأخذ,daily_actions
37,go,يذهب,daily_actions
38,come,يأتي,daily_actions
39,stop,توقف,daily_actions
40,wait,انتظر,daily_actions
41,look,ينظر,daily_actions
42,listen,يستمع,daily_actions
43,speak,يتكلم,daily_actions
44,think,يفكر,daily_actions
45,know,يعرف,daily_actions
46,understand,يفهم,daily_actions
47,learn,يتعلم,daily_actions
48,teach,يُعلّم,daily_actions
49,want,يريد,daily_actions
50,need,يحتاج,daily_actions
51,like,يحب,emotions
52,love,حب,emotions
53,happy,سعيد,emotions
54,sad,حزين,emotions
55,angry,غاضب,emotions
56,afraid,خائف,emotions
57,tired,تعب,emotions
58,hungry,جائع,emotions
59,thirsty,عطشان,emotions
60,sick,مريض,emotions
61,pain,ألم,emotions
62,cold,بارد,emotions
63,hot,حار,emotions
64,beautiful,جميل,emotions
65,bad,سيء,emotions
66,good,جيد,emotions
67,mother,أم,family
68,father,أب,family
69,brother,أخ,family
70,sister,أخت,family
71,son,ابن,family
72,daughter,ابنة,family
73,baby,طفل,family
74,family,عائلة,family
75,friend,صديق,family
76,child,طفل,family
77,man,رجل,family
78,woman,امرأة,family
79,boy,ولد,family
80,girl,بنت,family
81,teacher,معلم,family
82,doctor,طبيب,family
83,student,طالب,family
84,water,ماء,objects
85,food,طعام,objects
86,book,كتاب,objects
87,phone,هاتف,objects
88,computer,كمبيوتر,objects
89,car,سيارة,objects
90,house,بيت,objects
91,door,باب,objects
92,window,نافذة,objects
93,table,طاولة,objects
94,chair,كرسي,objects
95,school,مدرسة,objects
96,hospital,مستشفى,objects
97,money,مال,objects
98,clothes,ملابس,objects
99,key,مفتاح,objects
100,light,ضوء,objects
101,pen,قلم,objects
102,paper,ورقة,objects
103,clock,ساعة,objects
104,today,اليوم,time
105,tomorrow,غدا,time
106,yesterday,أمس,time
107,now,الآن,time
108,morning,صباح,time
109,night,ليل,time
110,day,يوم,time
111,week,أسبوع,time
112,month,شهر,time
113,year,سنة,time
114,time,وقت,time
115,before,قبل,time
116,after,بعد,time
117,always,دائما,time
118,never,أبدا,time
119,where,أين,questions
120,what,ماذا,questions
121,when,متى,questions
122,who,من,questions
123,why,لماذا,questions
124,how,كيف,questions
125,how much,كم,questions
126,which,أي,questions
127,big,كبير,descriptions
128,small,صغير,descriptions
129,new,جديد,descriptions
130,old,قديم,descriptions
131,fast,سريع,descriptions
132,slow,بطيء,descriptions
133,right,يمين,descriptions
134,left,يسار,descriptions
135,up,فوق,descriptions
136,down,تحت,descriptions
137,here,هنا,descriptions
138,there,هناك,descriptions
139,more,أكثر,descriptions
140,less,أقل,descriptions
141,same,نفس,descriptions
142,different,مختلف,descriptions
143,color,لون,descriptions
144,red,أحمر,colors
145,blue,أزرق,colors
146,green,أخضر,colors
147,white,أبيض,colors
148,black,أسود,colors
149,one,واحد,numbers
150,two,اثنان,numbers
151,three,ثلاثة,numbers
152,four,أربعة,numbers
153,five,خمسة,numbers
154,animal,حيوان,nature
155,tree,شجرة,nature
156,sun,شمس,nature
